;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
11102;4505502-3;Haarbeckstraße und Zechenbahn;Kamp-Lintfort;2,2;331710,0;5707215,0;*O:;A;57
11103;4505502-4;Haarbeckstraße und Zechenbahn;Kamp-Lintfort;2,2;331701,0;5707197,0;*O:;A;42
11104;4505503-1;AK Kamp-Lintfort (8)(1);Kamp-Lintfort;2,4;331771,0;5706991,0;*O:;A;57
11105;4505503-2;AK Kamp-Lintfort (8)(1);Kamp-Lintfort;2,0;331766,0;5706960,0;*O:;A;57
11106;4505503-3;AK Kamp-Lintfort (8)(1);Kamp-Lintfort;2,0;331751,0;5706950,0;*O:;A;57
11107;4505503-4;AK Kamp-Lintfort (8)(1);Kamp-Lintfort;2,3;331739,0;5706941,0;*O:;A;42
11108;4505505-1;Rayerstraße;Kamp-Lintfort;2,8;331858,0;5706654,0;*O:;A;57
11109;4505505-2;Rayerstraße;Kamp-Lintfort;2,2;331838,0;5706616,0;*O:;A;57
11110;4505505-3;Rayerstraße;Kamp-Lintfort;2,3;331827,0;5706608,0;*O:;A;57
11111;4505507-1;Anraths-Kanal;Lintfort;2,0;332092,0;5706020,0;*O:;A;57
11112;4505507-2;Anraths-Kanal;Lintfort;2,5;332092,0;5706020,0;*O:;A;57
11113;4505509-0;Wiesfurtgraben;Kamp-Lintfort;1,1;332412,0;5705193,0;*O:;A;57
11114;4505514-2;Kreisbahn;Moers;1,9;332928,0;5702455,0;*O:;A;57
11115;4505514-3;Kreisbahn;Moers;1,8;332928,0;5702455,0;*O:;A;57
11116;4505515-2;Unterführung L 140;Moers;2,0;333036,0;5702262,0;*O:;A;57
11117;4505515-3;Unterführung L 140;Moers;2,0;333036,0;5702262,0;*O:;A;57
11118;4505517-1;Steinbrückenstraße;Moers;2,0;333336,0;5701672,0;*O:;A;57
11119;4505517-2;Steinbrückenstraße;Moers;2,7;333336,0;5701672,0;*O:;A;57
11120;4505518-0;Moerskanal;Moers;1,9;333425,0;5701260,0;*O:;A;57
11121;4505526-2;Moerser Straße;Kapellen;1,7;333518,0;5699569,0;*O:;A;57
11122;4505526-3;Moerser Straße;Kapellen;2,0;333518,0;5699569,0;*O:;A;57
11123;4505527-1;Wilhelm-Anlahr-Straße;Kapellen;2,2;333515,0;5699226,0;*O:;A;57
11124;4505527-2;Wilhelm-Anlahr-Straße;Kapellen;1,9;333515,0;5699226,0;*O:;A;57
11125;4505529-1;Lauersforter Straße;Kapellen;1,7;333431,0;5698186,0;*O:;A;57
11126;4505529-2;Lauersforter Straße;Kapellen;2,3;333431,0;5698186,0;*O:;A;57
11127;4505530-1;Wirtschaftsweg (Klömpkenshof);Kapellen;2,5;333332,0;5697138,0;*O:;A;57
11128;4505530-2;Wirtschaftsweg (Klömpkenshof);Kapellen;2,5;333332,0;5697138,0;*O:;A;57
11129;4505569-0;Zechenbahn und Norddeutschlandstr.;Kamp-Lintfort;2,0;330180,0;5706215,0;*O:;B;528
11130;4505572-0;Anschlußarm A 42 / A 57;Kamp-Lintfort;2,3;331624,0;5706852,0;*O:;A;42
11131;4505595-2;Filderstraße;Moers;2,2;334600,0;5700986,0;*O:;A;40
11132;4505595-3;Filderstraße;Moers;2,0;334607,0;5700976,0;*O:;A;40
11133;4505598-1;Aubruchkanal/Auf- u. Abfahrtsast FR Venlo;Moers;2,7;333936,0;5701187,0;*O:;A;40
11134;4505598-2;Aubruchkanal/Mittelteil;Moers;1,7;333915,0;5701061,0;*O:;A;40
11135;4505598-3;Aubruchkanal/Auf- u. Abfahrtsast FR Duisburg;Moers;1,5;333948,0;5700905,0;*O:;A;40
11136;4505599-2;AS Moers-West (8)/AS Moers-West (8) - PFB FR Venlo;Moers;2,0;333864,0;5701068,0;*O:;A;40
11137;4505599-3;AS Moers-West (8);Moers;2,8;333850,0;5701043,0;*O:;A;40
11138;4505599-4;AS Moers-West (8);Moers;2,0;333850,0;5701043,0;*O:;A;40
11139;4505599-5;AS Moers-West (8)/AS Moers-West (8) - PFB FR Dortmund;Moers;2,0;333840,0;5701019,0;*O:;A;40
11140;4505603-1;AK Moers (8)(10)/AK Moers (8)(10) - PFB FR Venlo;Moers;2,2;333484,0;5701069,0;*O:;A;40
11141;4505603-2;AK Moers (8)(10);Moers;2,5;333475,0;5701038,0;*O:;A;40
11142;4505603-3;AK Moers (8)(10);Moers;2,2;333475,0;5701038,0;*O:;A;40
11143;4505603-4;AK Moers (8)(10)/AK Moers (8)(10) - PFB FR Dortmund;Moers;2,4;333498,0;5701013,0;*O:;A;40
11144;4505606-0;Moerskanal;Moers;2,6;332933,0;5700974,0;*O:;A;40
11145;4505610-1;Achterrathsheidegraben/Achterrathsheidegraben, Überbau Nord, FR Venlo;Moers-Kapellen;2,3;331652,0;5700650,0;*O:;A;40
11146;4505610-2;Achterrathsheidegraben/Achterrathsheidegraben, Überbau Süd, FR Dortmund;Moers-Kapellen;2,0;331652,0;5700650,0;*O:;A;40
11147;4505612-1;Trixweg/Trixweg, Überbau Nord, FR Venlo;Neukirchen-Vluyn;2,1;330160,0;5700355,0;*O:;A;40
11148;4505612-2;Trixweg/Trixweg, Überbau Süd, FR Dortmund;Neukirchen-Vluyn;1,0;330160,0;5700355,0;*O:;A;40
11149;4505615-0;Plankendickskendel;Neukirchen-Vluyn;1,3;328589,0;5700232,0;*O:;A;40
11150;4505616-2;Sittermannstraße;Neukirchen-Vluyn;1,8;328351,0;5700223,0;*O:;A;40
11151;4505616-3;Sittermannstraße;Neukirchen-Vluyn;1,7;328351,0;5700223,0;*O:;A;40
11152;4505618-2;UF Niepkanal (Nieper Parsick)/UF Niepkanal, FR Venlo;Tönisberg;2,4;327119,0;5700184,0;*O:;A;40
11153;4505618-3;UF Niepkanal (Nieper Parsick)/UF Niepkanal, FR Duisburg;Tönisberg;2,1;327119,0;5700184,0;*O:;A;40
11154;4505619-2;Unterführung L 477;Toenisberg;2,7;326894,0;5700144,0;*O:;A;40
11155;4505619-3;Unterführung L 477;Toenisberg;2,5;326894,0;5700144,0;*O:;A;40
11156;4505647-0;Anrathskanal;Moers-Repelen;1,0;331948,0;5707087,0;*O:;A;42
11157;4505730-1;Hoher Weg;Moers-Repelen;2,2;334087,0;5707522,0;*O:;A;42
11158;4505730-2;Hoher Weg;Moers-Repelen;2,4;334087,0;5707522,0;*O:;A;42
11159;4505731-1;Moersbach-Durchstich;Moers-Repelen;1,7;334283,0;5707523,0;*O:;A;42
11160;4505731-2;Moersbach-Durchstich;Moers-Repelen;1,2;334283,0;5707523,0;*O:;A;42
11161;4505732-0;Verlegter Moersbach;Moers-Repelen;1,3;335306,0;5707471,0;*O:;A;42
11162;4505733-2;AS Moers-Nord (2);Moers;2,0;335631,0;5707419,0;*O:;A;42
11163;4505733-3;AS Moers-Nord (2);Moers;2,0;335650,0;5707383,0;*O:;A;42
